Architecture                                ,Accuracy ,AUROC              ,AUROC_TS           ,ECE_15               ,ECE_15_TS            ,Coverage_for_Accuracy_99 ,Coverage_for_Accuracy_99_TS ,AURC    ,AURC_TS
vit_base_patch32_224                        ,80.71200 ,0.877234776601889  ,0.8769984644622133 ,0.01316209975630045  ,0.011772551573812962 ,                 0.30323 ,0.30342                     ,0.04800 ,0.04786
vit_base_patch32_224_useClassWeightsFROMVAL ,80.71200 ,0.8896034490463329 ,0.8899856344163761 ,0.13541996479034424  ,0.13728675246238708  ,                 0.40451 ,0.41995                     ,0.04415 ,0.04389
vit_base_patch32_224_useClassWeights        ,80.71200 ,0.8756715506771977 ,0.8755948738228237 ,0.07655148208141327  ,0.07921266555786133  ,                 0.26179 ,0.25926                     ,0.04909 ,0.04900
resnet18                                    ,69.75800 ,0.857630075768722  ,0.8563480281774716 ,0.026203788816928864 ,0.021983537822961807 ,                 0.13136 ,0.13306                     ,0.10141 ,0.10125
resnet18_useClassWeightsFROMVAL             ,69.75800 ,0.8725776523632176 ,0.8736626561245093 ,0.17499534785747528  ,0.19711846113204956  ,                 0.23990 ,0.25628                     ,0.09435 ,0.09310
resnet18_useClassWeightsFROMTRAINFROMVAL    ,69.75800 ,0.8579970875874244 ,None               ,0.11630342155694962  ,None                 ,                 0.14746 ,None                        ,0.10077 ,None
resnet18_useClassWeights                    ,69.75800 ,0.8574039252414953 ,0.857884231424561  ,0.11664895713329315  ,0.14318318665027618  ,                 0.05946 ,0.05967                     ,0.10240 ,0.10126
resnet34                                    ,75.11200 ,0.8497775134316511 ,0.8576920991075577 ,0.07798461616039276  ,0.021722465753555298 ,                 0.00178 ,0.00589                     ,0.08144 ,0.07743
resnet34_useClassWeightsFROMVAL             ,75.11200 ,0.8747505107897761 ,0.8756021810607623 ,0.22963587939739227  ,0.1567232459783554   ,                 0.28971 ,0.26866                     ,0.06945 ,0.06904
resnet34_useClassWeights                    ,75.11200 ,0.8571590286738289 ,0.8604836024042297 ,0.16076037287712097  ,0.0767235979437828   ,                 0.09594 ,0.11009                     ,0.07703 ,0.07555
resnet50                                    ,79.03200 ,0.8523317109362083 ,0.8653515813411232 ,0.13345907628536224  ,0.03298278898000717  ,                 0.04350 ,0.07244                     ,0.06374 ,0.05938
resnet50_useClassWeightsFROMVAL             ,79.03200 ,0.8809486599181651 ,0.8873995192675322 ,0.25211694836616516  ,0.12779556214809418  ,                 0.33137 ,0.35035                     ,0.05241 ,0.05057
resnet50_useClassWeights                    ,79.03200 ,0.8584612363586424 ,0.8643965495569443 ,0.19941237568855286  ,0.05727865546941757  ,                 0.17346 ,0.10513                     ,0.06057 ,0.05946
resnet34_useClassWeights                    ,75.11200 ,0.8571590286738289 ,0.8604842555792171 ,0.16076037287712097  ,0.07675161957740784  ,                 0.09594 ,0.11009                     ,0.07703 ,0.07555
resnet34_useClassWeights_divideByMaxAcc     ,75.11200 ,0.8571590222546138 ,0.8604842555792171 ,0.15481097996234894  ,0.0699492022395134   ,                 0.09594 ,0.11009                     ,0.07703 ,0.07555
